,name,make,model,year,tank_capacity,initial_odometer,fuel_id,fill_date,mileage,fuel,cost,partial,comment
59,passat,Volkswagen,Passat,2015,70.0,0.0,736,2016-12-16,820.4,51.587,58.76,False,
60,passat,Volkswagen,Passat,2015,70.0,0.0,737,2016-12-30,796.3,49.138,47.52,False,
61,passat,Volkswagen,Passat,2015,70.0,0.0,738,2017-01-15,755.0,47.392,47.25,False,
62,passat,Volkswagen,Passat,2015,70.0,0.0,739,2017-01-26,873.4,51.62,53.53,False,
63,passat,Volkswagen,Passat,2015,70.0,0.0,740,2017-02-04,737.7,45.579,47.27,False,
64,passat,Volkswagen,Passat,2015,70.0,0.0,741,2017-02-14,798.5,51.362,61.07,False,
65,passat,Volkswagen,Passat,2015,70.0,0.0,742,2017-02-26,800.0,49.517,51.35,False,
66,passat,Volkswagen,Passat,2015,70.0,0.0,743,2017-03-13,760.4,48.016,49.79,False,
67,passat,Volkswagen,Passat,2015,70.0,0.0,744,2017-03-17,329.1,22.615,23.45,False,
68,passat,Volkswagen,Passat,2015,70.0,0.0,745,2017-03-20,965.6,53.741,55.73,False,
69,passat,Volkswagen,Passat,2015,70.0,0.0,746,2017-03-30,926.2,51.802,53.72,False,
70,passat,Volkswagen,Passat,2015,70.0,0.0,747,2017-04-06,1088.5,60.2,66.16,False,
71,passat,Volkswagen,Passat,2015,70.0,0.0,748,2017-04-18,1052.6,55.928,57.99,False,
72,passat,Volkswagen,Passat,2015,70.0,0.0,749,2017-04-23,868.8,47.606,50.89,False,
73,passat,Volkswagen,Passat,2015,70.0,0.0,750,2017-04-27,1040.0,56.363,58.45,False,
74,passat,Volkswagen,Passat,2015,70.0,0.0,751,2017-05-09,1017.2,57.396,59.52,False,
75,passat,Volkswagen,Passat,2015,70.0,0.0,752,2017-05-20,1031.5,53.441,55.42,False,
76,passat,Volkswagen,Passat,2015,70.0,0.0,753,2017-11-16,623.3,36.062,39.92,True,
77,passat,Volkswagen,Passat,2015,70.0,0.0,754,2017-11-09,993.2,54.889,56.81,False,
78,passat,Volkswagen,Passat,2015,70.0,0.0,755,2017-10-18,960.5,54.715,56.63,False,
79,passat,Volkswagen,Passat,2015,70.0,0.0,756,2017-10-01,1069.2,52.808,54.66,False,
80,passat,Volkswagen,Passat,2015,70.0,0.0,757,2017-09-17,984.7,52.626,54.47,False,
81,passat,Volkswagen,Passat,2015,70.0,0.0,758,2017-08-31,1006.5,52.574,54.41,False,
82,passat,Volkswagen,Passat,2015,70.0,0.0,759,2017-08-17,1116.8,56.059,58.13,False,
83,passat,Volkswagen,Passat,2015,70.0,0.0,760,2017-08-13,603.4,31.315,32.47,True,
84,passat,Volkswagen,Passat,2015,70.0,0.0,761,2017-07-27,989.4,57.552,59.22,False,
85,passat,Volkswagen,Passat,2015,70.0,0.0,762,2017-07-16,1064.9,55.223,57.27,False,
86,passat,Volkswagen,Passat,2015,70.0,0.0,763,2017-07-03,1029.1,54.54,56.56,False,
87,passat,Volkswagen,Passat,2015,70.0,0.0,764,2017-06-16,1055.7,59.39,62.89,False,
88,passat,Volkswagen,Passat,2015,70.0,0.0,765,2017-06-02,930.5,50.932,52.82,False,
89,passat,Volkswagen,Passat,2015,70.0,0.0,766,2017-12-22,181.1,50.13,58.5,True,Did a partial fill up in north bay the last fill up so I could get to No Frills in Sturgeon. Filling up fully this time.
90,passat,Volkswagen,Passat,2015,70.0,0.0,767,2017-12-19,569.0,12.515,15.01,True,On empty putting some into get to no frills in sturgeon
91,passat,Volkswagen,Passat,2015,70.0,0.0,768,2018-01-31,858.6,51.482,61.11,False,
92,passat,Volkswagen,Passat,2015,70.0,0.0,769,2018-01-12,696.1,46.545,54.32,False,
93,passat,Volkswagen,Passat,2015,70.0,0.0,770,2018-01-22,671.8,43.05,50.24,False,
94,passat,Volkswagen,Passat,2015,70.0,0.0,771,2018-05-08,1056.2,58.077,72.42,False,
95,passat,Volkswagen,Passat,2015,70.0,0.0,772,2018-04-15,910.6,54.726,66.6,False,
96,passat,Volkswagen,Passat,2015,70.0,0.0,773,2018-04-04,874.6,47.654,56.99,False,
97,passat,Volkswagen,Passat,2015,70.0,0.0,774,2018-03-20,951.3,51.676,61.8,False,
98,passat,Volkswagen,Passat,2015,70.0,0.0,775,2018-03-11,981.4,52.991,59.14,False,
99,passat,Volkswagen,Passat,2015,70.0,0.0,776,2018-02-25,888.3,52.468,62.8,False,
100,passat,Volkswagen,Passat,2015,70.0,0.0,777,2018-02-12,776.5,49.577,59.34,False,
101,passat,Volkswagen,Passat,2015,70.0,0.0,778,2019-03-26,518.3,29.902,35.55,False,
102,passat,Volkswagen,Passat,2015,70.0,0.0,779,2019-03-21,892.1,52.218,62.09,False,
103,passat,Volkswagen,Passat,2015,70.0,0.0,780,2019-03-07,883.0,56.835,67.58,False,
104,passat,Volkswagen,Passat,2015,70.0,0.0,781,2019-02-10,782.3,49.916,59.35,False,
105,passat,Volkswagen,Passat,2015,70.0,0.0,782,2019-01-22,768.9,53.214,63.27,False,
106,passat,Volkswagen,Passat,2015,70.0,0.0,783,2018-12-17,862.4,49.881,62.8,False,
