vehicle id;make;model;year;tank_capacity;initial_odometer;archive;fill up id;vehicle_id;date;mileage;fuel_added;cost;is_partial_fill_up;comment;tags
2;Toyota;Matrix;2003;50;11;1;83;2;2004-09-15 00:00:00;565.4;41.4;33.0;0;;
2;Toyota;Matrix;2003;50;11;1;84;2;2004-09-22 00:00:00;557.8;40.628;31.0;0;;
2;Toyota;Matrix;2003;50;11;1;85;2;2004-09-28 00:00:00;487.5;30.925;27.0;0;;
2;Toyota;Matrix;2003;50;11;1;86;2;2004-10-04 00:00:00;478.6;39.104;33.0;0;;
2;Toyota;Matrix;2003;50;11;1;87;2;2004-10-12 00:00:00;545.7;40.333;34.0;0;;
2;Toyota;Matrix;2003;50;11;1;88;2;2004-10-21 00:00:00;550.6;40.839;35.0;0;;
2;Toyota;Matrix;2003;50;11;1;89;2;2004-10-27 00:00:00;470.4;36.344;31.0;0;;
2;Toyota;Matrix;2003;50;11;1;90;2;2004-11-04 00:00:00;535.2;30.068;26.0;0;;
2;Toyota;Matrix;2003;50;11;1;91;2;2004-11-15 00:00:00;444.1;35.303;28.0;0;;
2;Toyota;Matrix;2003;50;11;1;92;2;2004-11-21 00:00:00;462.9;33.422;21.0;0;;
2;Toyota;Matrix;2003;50;11;1;93;2;2004-11-25 00:00:00;331.2;25.652;21.5;0;;
2;Toyota;Matrix;2003;50;11;1;94;2;2004-11-26 00:00:00;287.3;23.375;18.0;0;;
2;Toyota;Matrix;2003;50;11;1;95;2;2004-12-15 00:00:00;495.2;41.674;30.01;0;;
2;Toyota;Matrix;2003;50;11;1;96;2;2004-12-21 00:00:00;356.9;29.742;21.0;0;;
2;Toyota;Matrix;2003;50;11;1;97;2;2005-01-07 00:00:00;476.4;37.058;28.5;0;;
2;Toyota;Matrix;2003;50;11;1;98;2;2005-01-14 00:00:00;517.9;41.078;34.01;0;;
2;Toyota;Matrix;2003;50;11;1;99;2;2005-01-21 00:00:00;479.2;41.087;29.75;0;;
2;Toyota;Matrix;2003;50;11;1;100;2;2005-01-27 00:00:00;439.5;37.191;26.0;0;;
2;Toyota;Matrix;2003;50;11;1;101;2;2005-02-03 00:00:00;550.0;43.807;35.0;0;;
2;Toyota;Matrix;2003;50;11;1;102;2;2005-02-08 00:00:00;297.4;22.702;18.0;0;;
2;Toyota;Matrix;2003;50;11;1;103;2;2005-02-14 00:00:00;437.2;34.462;26.5;0;;
2;Toyota;Matrix;2003;50;11;1;104;2;2005-02-17 00:00:00;427.3;34.63;26.01;0;;
2;Toyota;Matrix;2003;50;11;1;105;2;2005-02-22 00:00:00;337.6;39.464;32.01;0;;
2;Toyota;Matrix;2003;50;11;1;106;2;2005-02-23 00:00:00;183.8;18.31;15.0;0;;
2;Toyota;Matrix;2003;50;11;1;107;2;2005-03-01 00:00:00;442.3;33.37;27.0;0;;
2;Toyota;Matrix;2003;50;11;1;108;2;2005-03-14 00:00:00;551.9;39.815;35.0;0;;
2;Toyota;Matrix;2003;50;11;1;109;2;2005-03-21 00:00:00;533.6;41.912;36.0;0;;
2;Toyota;Matrix;2003;50;11;1;110;2;2005-03-29 00:00:00;466.5;35.13;31.02;0;;
2;Toyota;Matrix;2003;50;11;1;111;2;2005-04-20 00:00:00;285.2;41.324;35.91;0;;
2;Toyota;Matrix;2003;50;11;1;112;2;2005-04-27 00:00:00;562.8;40.159;37.55;0;;
2;Toyota;Matrix;2003;50;11;1;113;2;2005-05-04 00:00:00;523.0;41.155;37.04;0;;
2;Toyota;Matrix;2003;50;11;1;114;2;2005-05-11 00:00:00;561.0;41.571;36.0;0;;
2;Toyota;Matrix;2003;50;11;1;115;2;2005-05-13 00:00:00;330.4;24.458;21.0;0;;
